"iyear";"Region";"attacks"
"1978";"Australasia & Oceania";2
"1978";"Central America & Caribbean";199
"1978";"East Asia";35
"1978";"Eastern Europe";2
"1978";"Middle East & North Africa";128
"1978";"North America";117
"1978";"South America";222
"1978";"South Asia";2
"1978";"Southeast Asia";44
"1978";"Sub-Saharan Africa";46
"1978";"Western Europe";729
"1979";"Australasia & Oceania";2
"1979";"Central America & Caribbean";609
"1979";"East Asia";16
"1979";"Eastern Europe";1
"1979";"Middle East & North Africa";455
"1979";"North America";79
"1979";"South America";236
"1979";"South Asia";34
"1979";"Southeast Asia";86
"1979";"Sub-Saharan Africa";124
"1979";"Western Europe";1019
"1980";"Australasia & Oceania";7
"1980";"Central America & Caribbean";1070
"1980";"East Asia";1
"1980";"Eastern Europe";1
"1980";"Middle East & North Africa";437
"1980";"North America";75
"1980";"South America";319
"1980";"South Asia";12
"1980";"Southeast Asia";87
"1980";"Sub-Saharan Africa";58
"1980";"Western Europe";596
"1981";"Australasia & Oceania";3
"1981";"Central America & Caribbean";1148
"1981";"East Asia";4
"1981";"Eastern Europe";4
"1981";"Middle East & North Africa";312
"1981";"North America";76
"1981";"South America";383
"1981";"South Asia";23
"1981";"Southeast Asia";50
"1981";"Sub-Saharan Africa";98
"1981";"Western Europe";484
"1982";"Australasia & Oceania";2
"1982";"Central America & Caribbean";996
"1982";"East Asia";3
"1982";"Eastern Europe";3
"1982";"Middle East & North Africa";291
"1982";"North America";86
"1982";"South America";639
"1982";"South Asia";20
"1982";"Southeast Asia";43
"1982";"Sub-Saharan Africa";60
"1982";"Western Europe";402
"1983";"Central America & Caribbean";858
"1983";"East Asia";13
"1983";"Eastern Europe";2
"1983";"Middle East & North Africa";334
"1983";"North America";47
"1983";"South America";950
"1983";"South Asia";63
"1983";"Southeast Asia";22
"1983";"Sub-Saharan Africa";106
"1983";"Western Europe";475
"1984";"Australasia & Oceania";10
"1984";"Central America & Caribbean";681
"1984";"East Asia";15
"1984";"Eastern Europe";4
"1984";"Middle East & North Africa";268
"1984";"North America";67
"1984";"South America";1492
"1984";"South Asia";244
"1984";"Southeast Asia";46
"1984";"Sub-Saharan Africa";126
"1984";"Western Europe";541
"1985";"Australasia & Oceania";7
"1985";"Central America & Caribbean";780
"1985";"East Asia";10
"1985";"Eastern Europe";5
"1985";"Middle East & North Africa";133
"1985";"North America";44
"1985";"South America";1040
"1985";"South Asia";161
"1985";"Southeast Asia";128
"1985";"Sub-Saharan Africa";141
"1985";"Western Europe";466
"1986";"Australasia & Oceania";4
"1986";"Central America & Caribbean";393
"1986";"East Asia";12
"1986";"Eastern Europe";3
"1986";"Middle East & North Africa";196
"1986";"North America";53
"1986";"South America";1184
"1986";"South Asia";273
"1986";"Southeast Asia";102
"1986";"Sub-Saharan Africa";185
"1986";"Western Europe";455
"1987";"Australasia & Oceania";3
"1987";"Central America & Caribbean";566
"1987";"East Asia";10
"1987";"Eastern Europe";1
"1987";"Middle East & North Africa";202
"1987";"North America";35
"1987";"South America";1265
"1987";"South Asia";348
"1987";"Southeast Asia";163
"1987";"Sub-Saharan Africa";174
"1987";"Western Europe";417
"1988";"Australasia & Oceania";12
"1988";"Central America & Caribbean";495
"1988";"East Asia";24
"1988";"Eastern Europe";4
"1988";"Middle East & North Africa";246
"1988";"North America";30
"1988";"South America";1041
"1988";"South Asia";800
"1988";"Southeast Asia";242
"1988";"Sub-Saharan Africa";337
"1988";"Western Europe";490
"1989";"Australasia & Oceania";29
"1989";"Central America & Caribbean";503
"1989";"East Asia";18
"1989";"Eastern Europe";16
"1989";"Middle East & North Africa";464
"1989";"North America";43
"1989";"South America";1385
"1989";"South Asia";926
"1989";"Southeast Asia";203
"1989";"Sub-Saharan Africa";291
"1989";"Western Europe";444
"1990";"Australasia & Oceania";18
"1990";"Central America & Caribbean";316
"1990";"East Asia";99
"1990";"Eastern Europe";58
"1990";"Middle East & North Africa";494
"1990";"North America";37
"1990";"South America";1076
"1990";"South Asia";601
"1990";"Southeast Asia";348
"1990";"Sub-Saharan Africa";450
"1990";"Western Europe";390
"1991";"Australasia & Oceania";10
"1991";"Central America & Caribbean";729
"1991";"Central Asia";7
"1991";"East Asia";29
"1991";"Eastern Europe";84
"1991";"Middle East & North Africa";612
"1991";"North America";40
"1991";"South America";1322
"1991";"South Asia";677
"1991";"Southeast Asia";206
"1991";"Sub-Saharan Africa";271
"1991";"Western Europe";696
"1992";"Australasia & Oceania";17
"1992";"Central America & Caribbean";212
"1992";"Central Asia";77
"1992";"East Asia";74
"1992";"Eastern Europe";91
"1992";"Middle East & North Africa";1193
"1992";"North America";41
"1992";"South America";1204
"1992";"South Asia";545
"1992";"Southeast Asia";279
"1992";"Sub-Saharan Africa";571
"1992";"Western Europe";769
"1994";"Australasia & Oceania";14
"1994";"Central America & Caribbean";180
"1994";"Central Asia";65
"1994";"East Asia";34
"1994";"Eastern Europe";95
"1994";"Middle East & North Africa";1051
"1994";"North America";102
"1994";"South America";373
"1994";"South Asia";376
"1994";"Southeast Asia";151
"1994";"Sub-Saharan Africa";433
"1994";"Western Europe";584
"1995";"Australasia & Oceania";18
"1995";"Central America & Caribbean";168
"1995";"Central Asia";55
"1995";"East Asia";38
"1995";"Eastern Europe";68
"1995";"Middle East & North Africa";590
"1995";"North America";94
"1995";"South America";255
"1995";"South Asia";1051
"1995";"Southeast Asia";168
"1995";"Sub-Saharan Africa";239
"1995";"Western Europe";337
"1996";"Australasia & Oceania";19
"1996";"Central America & Caribbean";116
"1996";"Central Asia";33
"1996";"East Asia";89
"1996";"Eastern Europe";175
"1996";"Middle East & North Africa";373
"1996";"North America";111
"1996";"South America";517
"1996";"South Asia";737
"1996";"Southeast Asia";193
"1996";"Sub-Saharan Africa";217
"1996";"Western Europe";476
"1997";"Australasia & Oceania";7
"1997";"Central America & Caribbean";117
"1997";"Central Asia";49
"1997";"East Asia";40
"1997";"Eastern Europe";248
"1997";"Middle East & North Africa";550
"1997";"North America";137
"1997";"South America";774
"1997";"South Asia";490
"1997";"Southeast Asia";160
"1997";"Sub-Saharan Africa";279
"1997";"Western Europe";349
"1998";"Australasia & Oceania";6
"1998";"Central America & Caribbean";1
"1998";"Central Asia";25
"1998";"East Asia";9
"1998";"Eastern Europe";105
"1998";"Middle East & North Africa";247
"1998";"North America";36
"1998";"South America";108
"1998";"South Asia";136
"1998";"Southeast Asia";32
"1998";"Sub-Saharan Africa";87
"1998";"Western Europe";141
"1999";"Australasia & Oceania";4
"1999";"Central America & Caribbean";8
"1999";"Central Asia";24
"1999";"East Asia";4
"1999";"Eastern Europe";138
"1999";"Middle East & North Africa";316
"1999";"North America";56
"1999";"South America";134
"1999";"South Asia";225
"1999";"Southeast Asia";108
"1999";"Sub-Saharan Africa";143
"1999";"Western Europe";236
"2000";"Australasia & Oceania";6
"2000";"Central America & Caribbean";14
"2000";"Central Asia";21
"2000";"East Asia";19
"2000";"Eastern Europe";234
"2000";"Middle East & North Africa";272
"2000";"North America";41
"2000";"South America";150
"2000";"South Asia";355
"2000";"Southeast Asia";256
"2000";"Sub-Saharan Africa";192
"2000";"Western Europe";253
"2001";"Australasia & Oceania";4
"2001";"Central America & Caribbean";8
"2001";"Central Asia";18
"2001";"East Asia";20
"2001";"Eastern Europe";252
"2001";"Middle East & North Africa";362
"2001";"North America";48
"2001";"South America";229
"2001";"South Asia";385
"2001";"Southeast Asia";186
"2001";"Sub-Saharan Africa";162
"2001";"Western Europe";234
"2002";"Australasia & Oceania";2
"2002";"Central America & Caribbean";3
"2002";"Central Asia";6
"2002";"East Asia";4
"2002";"Eastern Europe";112
"2002";"Middle East & North Africa";327
"2002";"North America";33
"2002";"South America";162
"2002";"South Asia";332
"2002";"Southeast Asia";110
"2002";"Sub-Saharan Africa";121
"2002";"Western Europe";120
"2003";"Australasia & Oceania";4
"2003";"Central America & Caribbean";8
"2003";"Central Asia";7
"2003";"East Asia";6
"2003";"Eastern Europe";100
"2003";"Middle East & North Africa";295
"2003";"North America";33
"2003";"South America";117
"2003";"South Asia";353
"2003";"Southeast Asia";145
"2003";"Sub-Saharan Africa";73
"2003";"Western Europe";121
"2004";"Central America & Caribbean";5
"2004";"Central Asia";8
"2004";"East Asia";4
"2004";"Eastern Europe";45
"2004";"Middle East & North Africa";487
"2004";"North America";12
"2004";"South America";42
"2004";"South Asia";369
"2004";"Southeast Asia";95
"2004";"Sub-Saharan Africa";35
"2004";"Western Europe";59
"2005";"Central America & Caribbean";3
"2005";"Central Asia";11
"2005";"East Asia";2
"2005";"Eastern Europe";75
"2005";"Middle East & North Africa";884
"2005";"North America";21
"2005";"South America";49
"2005";"South Asia";603
"2005";"Southeast Asia";204
"2005";"Sub-Saharan Africa";59
"2005";"Western Europe";100
"2006";"Australasia & Oceania";2
"2006";"Central America & Caribbean";5
"2006";"Central Asia";6
"2006";"East Asia";2
"2006";"Eastern Europe";70
"2006";"Middle East & North Africa";1179
"2006";"North America";15
"2006";"South America";50
"2006";"South Asia";938
"2006";"Southeast Asia";272
"2006";"Sub-Saharan Africa";114
"2006";"Western Europe";98
"2007";"Australasia & Oceania";1
"2007";"Central America & Caribbean";4
"2007";"Central Asia";4
"2007";"Eastern Europe";62
"2007";"Middle East & North Africa";1385
"2007";"North America";19
"2007";"South America";47
"2007";"South Asia";981
"2007";"Southeast Asia";364
"2007";"Sub-Saharan Africa";302
"2007";"Western Europe";72
"2008";"Australasia & Oceania";8
"2008";"Central Asia";36
"2008";"East Asia";25
"2008";"Eastern Europe";209
"2008";"Middle East & North Africa";1535
"2008";"North America";31
"2008";"South America";144
"2008";"South Asia";1743
"2008";"Southeast Asia";513
"2008";"Sub-Saharan Africa";380
"2008";"Western Europe";163
"2009";"Australasia & Oceania";1
"2009";"Central America & Caribbean";9
"2009";"Central Asia";31
"2009";"East Asia";8
"2009";"Eastern Europe";165
"2009";"Middle East & North Africa";1361
"2009";"North America";15
"2009";"South America";159
"2009";"South Asia";1946
"2009";"Southeast Asia";562
"2009";"Sub-Saharan Africa";283
"2009";"Western Europe";181
"2010";"Australasia & Oceania";1
"2010";"Central America & Caribbean";1
"2010";"Central Asia";9
"2010";"East Asia";1
"2010";"Eastern Europe";260
"2010";"Middle East & North Africa";1463
"2010";"North America";24
"2010";"South America";148
"2010";"South Asia";1978
"2010";"Southeast Asia";473
"2010";"Sub-Saharan Africa";330
"2010";"Western Europe";133
"2011";"Central America & Caribbean";1
"2011";"Central Asia";9
"2011";"East Asia";4
"2011";"Eastern Europe";198
"2011";"Middle East & North Africa";1662
"2011";"North America";12
"2011";"South America";106
"2011";"South Asia";2135
"2011";"Southeast Asia";353
"2011";"Sub-Saharan Africa";494
"2011";"Western Europe";93
"2012";"Central America & Caribbean";1
"2012";"Central Asia";12
"2012";"East Asia";4
"2012";"Eastern Europe";173
"2012";"Middle East & North Africa";2411
"2012";"North America";35
"2012";"South America";133
"2012";"South Asia";3800
"2012";"Southeast Asia";585
"2012";"Sub-Saharan Africa";1156
"2012";"Western Europe";188
"2013";"Australasia & Oceania";1
"2013";"Central America & Caribbean";14
"2013";"Central Asia";7
"2013";"East Asia";14
"2013";"Eastern Europe";165
"2013";"Middle East & North Africa";4545
"2013";"North America";31
"2013";"South America";179
"2013";"South Asia";4606
"2013";"Southeast Asia";1186
"2013";"Sub-Saharan Africa";989
"2013";"Western Europe";253
"2014";"Australasia & Oceania";9
"2014";"Central America & Caribbean";5
"2014";"Central Asia";9
"2014";"East Asia";42
"2014";"Eastern Europe";958
"2014";"Middle East & North Africa";6917
"2014";"North America";34
"2014";"South America";281
"2014";"South Asia";4990
"2014";"Southeast Asia";1075
"2014";"Sub-Saharan Africa";2306
"2014";"Western Europe";214
"2015";"Australasia & Oceania";7
"2015";"Central America & Caribbean";1
"2015";"Central Asia";9
"2015";"East Asia";27
"2015";"Eastern Europe";684
"2015";"Middle East & North Africa";5955
"2015";"North America";62
"2015";"South America";175
"2015";"South Asia";4568
"2015";"Southeast Asia";1062
"2015";"Sub-Saharan Africa";1935
"2015";"Western Europe";321
